external_id,source_portal,source_url,title,description,offer_type,price,area,rooms,floor,year_built,has_elevator,is_accessible,location,address,district_id,noise_db_min,noise_db_max
68042758,otodom,https://www.otodom.pl/pl/oferta/2-pokoje-przymorze-dostepne-od-czerwca-ID4Bw1Q,2 pokoje | Przymorze | dostępne od czerwca,,rent,4000,44.95,TWO,,,,,,pomorskie,,,
68042660,otodom,https://www.otodom.pl/pl/oferta/3-pokoje-klimatyzacja-miejsce-w-hali-garazowej-ID4Bw0g,"3 pokoje, klimatyzacja, miejsce w hali garażowej",,rent,2800,50,THREE,,,,,,pomorskie,,,
65838712,otodom,https://www.otodom.pl/pl/oferta/great-for-students-cozy-standard-studio-50-off-1-month-ID4sfEI,GREAT FOR STUDENTS / Cozy Standard Studio- 50% Off 1 month,,rent,1990,24.5,ONE,,,,,,pomorskie,,,
67357466,otodom,https://www.otodom.pl/pl/oferta/pierwszy-miesiac-50-taniej-wyjatkowa-oferta-w-noli-gdansk-wrzeszcz-ID4yCKK,Pierwszy miesiąc 50% TANIEJ – wyjątkowa oferta w Noli Gdańsk Wrzeszcz,,rent,3000,30,TWO,,,,,,pomorskie,,,
65847815,otodom,https://www.otodom.pl/pl/oferta/przytulne-studio-compact-media-w-cenie-ostatnie-dni-promocji-ID4si1x,Przytulne studio Compact | Media w cenie- OSTATNIE DNI PROMOCJI!,,rent,2000,20.5,ONE,,,,,,pomorskie,,,
67357548,otodom,https://www.otodom.pl/pl/oferta/noli-gdansk-wrzeszcz-ID4yCM4,Noli Gdańsk Wrzeszcz,,rent,,,,,,,,,pomorskie,,,
65431394,otodom,https://www.otodom.pl/pl/oferta/kawalerki-wolne-od-1lipca-2024-gdansk-przymorze-ID4qxH4,Kawalerki wolne od 1lipca 2024 - Gdańsk Przymorze,,rent,2400,20,ONE,,,,,,pomorskie,,,
63821360,otodom,https://www.otodom.pl/pl/oferta/piekne-mieszkanie-niepolomicka-ID4jMQM,Piękne mieszkanie Niepołomicka,,rent,4500,58,THREE,,,,,,pomorskie,,,
67226968,otodom,https://www.otodom.pl/pl/oferta/studio-centrum-gdanska-silownia-sauna-coworking-elastyczny-najem-ID4y4NV,"Studio centrum Gdańska | Siłownia, Sauna, Coworking | Elastyczny najem",,rent,2150,17,ONE,,,,,,pomorskie,,,
67952029,otodom,https://www.otodom.pl/pl/oferta/mieszkanie-dla-studenta-rok-akademicki-silownia-klimatyzacja-ID4B7qt,Mieszkanie dla studenta | Rok akademicki | Siłownia | Klimatyzacja,,rent,2150,18,ONE,,,,,,pomorskie,,,
68042147,otodom,https://www.otodom.pl/pl/oferta/komfortowe-nowoczesne-3-pokoje-zaspa-hala-komorka-ID4BuRZ,Komfortowe nowoczesne 3 pokoje Zaspa hala komórka,,rent,4700,65,THREE,,,,,,pomorskie,,,
68042146,otodom,https://www.otodom.pl/pl/oferta/przymorze-2-pokoje-widok-m-postojowe-ID4BuRY,Przymorze 2 pokoje widok m.postojowe,,rent,3600,58,TWO,,,,,,pomorskie,,,
67952807,otodom,https://www.otodom.pl/pl/oferta/ul-pomorska-86-gdansk-3pokoje-winda-blisko-skm-zwierzeta-ok-ID4B7D1,"ul. Pomorska 86, Gdańsk|3pokoje|Winda|Blisko SKM|Zwierzęta ok",,rent,3000,47,THREE,,,,,,pomorskie,,,
68010043,otodom,https://www.otodom.pl/pl/oferta/nieborowska-gdansk-2-niezalezne-pokoje-piwnica-bez-prowizji-ID4Bmvb,Nieborowska | Gdańsk| 2 niezależne pokoje | Piwnica | Bez prowizji,,rent,2900,56,TWO,,,,,,pomorskie,,,
68041768,otodom,https://www.otodom.pl/pl/oferta/apartament-blisko-morza-ID4BuLS,Apartament Blisko Morza,,rent,9000,80,THREE,,,,,,pomorskie,,,
67992329,otodom,https://www.otodom.pl/pl/oferta/nowe-2-pokojowe-mieszkanie-od-zaraz-ID4BhUt,Nowe 2-pokojowe mieszkanie od Zaraz!,,rent,3300,35,TWO,,,,,,pomorskie,,,
68005762,otodom,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-dla-rodziny-ID4Blp8,3-pokojowe mieszkanie dla rodziny!,,rent,3600,76.5,THREE,,,,,,pomorskie,,,
68015459,otodom,https://www.otodom.pl/pl/oferta/mieszkanie-na-wynajem-gdansk-lawendowe-wzgorze-ID4BnWx,Mieszkanie na wynajem Gdansk - Lawendowe Wzgórze,,rent,2700,49,TWO,,,,,,pomorskie,,,
68041186,otodom,https://www.otodom.pl/pl/oferta/luksusowe-studio-z-widokiem-na-motlawe-kapitanat-ID4BuCu,Luksusowe studio z widokiem na Motławę | Kapitanat,,rent,3200,30.36,ONE,,,,,,pomorskie,,,
68041152,otodom,https://www.otodom.pl/pl/oferta/2-pokoje-pod-wynajem-w-renomowanej-dzielnicy-ID4BuBV,2 pokoje pod wynajem w renomowanej dzielnicy !,,rent,3500,38,TWO,,,,,,pomorskie,,,
67641394,otodom,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35-m-parking-wyposazone-blisko-obwodnicy-ID4zOCe,"2-pokojowe mieszkanie 35 m², parking, wyposażone, blisko obwodnicy",,rent,2500,40,TWO,,,,,,pomorskie,,,
62376194,otodom,https://www.otodom.pl/pl/oferta/luksusowy-3-pok-apartament-z-widokiem-na-stocznie-ID4dITE,Luksusowy 3-pok apartament z widokiem na stocznię,,rent,4900,72,THREE,,,,,,pomorskie,,,
68040871,otodom,https://www.otodom.pl/pl/oferta/piekne-2-pokojowe-mieszkanie-nowa-letnica-bezposrednio-ID4Buxp,Piękne 2 pokojowe mieszkanie - Nowa Letnica-bezpośrednio!,,rent,2700,42,TWO,,,,,,pomorskie,,,
68040760,otodom,https://www.otodom.pl/pl/oferta/apartament-studio-dlugie-ogrody-18e-132-ID4BuwC,"Apartament studio, Długie Ogrody 18E/132",,rent,8900,34,ONE,,,,,,pomorskie,,,
68040761,otodom,https://www.otodom.pl/pl/oferta/apartament-z-1-sypialnia-dluga-grobla-8-22-ID4BuwD,"Apartament z 1 sypialnią, Długa Grobla 8/22",,rent,8900,45,TWO,,,,,,pomorskie,,,
